r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,id
59,123,27,23,4,35,15,64,54,105,True,7624985907
65,21,96,19,22,94,23,83,9,52,False,7625480677
96,89,74,123,31,41,34,23,109,9,False,7625410291
44,137,9,7,43,14,41,83,121,71,False,7625335468
1,5,26,39,96,15,48,14,100,13,False,7625263268
21,62,17,112,57,15,67,123,20,2,True,7625194887
27,85,54,104,43,33,108,40,41,55,True,7625078411
27,17,57,5,93,23,49,86,58,113,False,7625017422
22,50,86,1,129,25,100,121,54,23,True,7624908585
33,73,129,65,46,44,13,58,23,112,True,7625536513
9,112,89,96,113,19,45,13,114,86,True,7625433841
45,9,46,98,137,41,20,53,17,57,True,7625366592
126,89,45,2,53,18,65,13,19,92,True,7625323488
46,9,103,61,52,27,109,39,44,65,False,7625219646
9,57,44,7,52,51,18,45,21,80,True,7625175396
94,88,15,45,98,18,123,2,52,53,True,7625074138
96,79,21,105,15,65,45,10,39,88,True,7624988120
39,48,98,79,45,18,40,55,109,19,False,7624907034
13,138,112,129,18,44,86,28,33,106,False,7625466461
13,128,41,137,45,123,105,93,106,136,True,7625060396
19,65,107,44,96,69,10,57,20,74,True,7625458196
123,20,129,120,44,69,96,89,65,137,False,7625333329
25,96,52,58,44,18,105,49,53,13,False,7625257121
53,105,93,13,98,63,109,9,113,49,False,7625152555
123,22,57,44,58,52,105,14,18,19,True,7625078313
96,79,21,105,15,65,45,10,39,88,True,7624988120
39,8,29,45,86,65,105,123,21,129,True,7624915556
18,28,53,114,13,95,52,17,9,79,False,7625469876
7,87,26,128,18,21,110,86,104,120,True,7625399673
65,112,72,45,137,17,53,15,40,1,False,7625176199
59,37,109,137,10,53,85,86,93,95,True,7625102010
33,41,52,19,92,89,26,50,105,57,True,7625518945
44,17,107,27,105,103,98,48,26,137,False,7625445351
137,22,11,19,73,90,2,20,44,52,True,7625274130
33,73,129,65,46,44,13,58,23,112,True,7625536513
13,138,112,129,18,44,86,28,33,106,False,7625466461
52,65,72,129,95,1,97,26,9,19,True,7625356972
93,105,27,52,129,89,76,69,65,9,False,7625269292
25,49,41,111,123,3,9,60,93,15,False,7625170279
14,2,53,113,93,9,137,98,65,72,False,7625080049
13,19,53,129,1,59,86,137,64,18,False,7624926681
17,111,19,57,1,35,40,123,120,21,False,7625257214
46,109,47,52,49,15,19,21,41,105,False,7625148578
21,26,19,65,137,13,53,114,62,129,False,7625049676
35,26,96,86,41,59,19,112,92,48,False,7625214759
43,10,40,52,69,49,14,106,123,25,True,7625292558
18,105,120,109,97,14,45,86,56,21,False,7625125339
18,53,137,5,55,52,105,57,44,45,True,7624966896
44,29,75,52,19,98,97,22,93,5,True,7625196444
53,73,17,5,18,98,66,62,70,71,True,7625128355
33,41,52,19,92,89,26,50,105,57,True,7625518945
126,89,45,2,53,18,65,13,19,92,True,7625323488
54,62,114,9,69,23,58,19,77,12,True,7624963470
13,52,44,107,55,22,19,137,5,41,True,7624888562
137,34,88,65,54,22,96,1,9,26,False,7625497349
19,110,8,129,123,44,97,79,49,9,True,7625531785
26,98,33,78,89,123,109,39,95,102,True,7624916291
14,93,82,21,123,135,109,86,129,48,False,7624876790
126,89,45,2,53,18,65,13,19,92,True,7625323488
33,41,52,19,92,89,26,50,105,57,True,7625518945
59,5,53,95,57,69,21,96,17,48,True,7625430304
38,107,76,44,9,57,7,114,58,52,False,7625387827
74,70,57,21,109,52,44,39,13,79,True,7625315580
15,32,105,20,57,7,95,55,86,74,False,7625040573
38,53,62,13,94,47,71,3,137,93,False,7624953848
57,121,5,94,105,44,39,20,71,65,False,7624893944
19,110,8,129,123,44,97,79,49,9,True,7625531785
18,28,53,114,13,95,52,17,9,79,False,7625469876
114,9,18,109,96,54,57,5,26,49,True,7625378062
46,9,25,19,43,88,65,36,35,72,True,7625312061
18,31,52,57,109,19,53,96,54,5,True,7625235710
41,31,3,126,104,9,123,96,19,1,True,7625155316
104,120,121,109,93,59,53,64,135,21,True,7625086766
98,5,135,47,10,90,53,19,129,54,True,7625488929
9,17,19,138,44,65,14,109,31,93,True,7625352499
112,20,19,48,31,54,53,14,109,13,False,7625286026
120,86,89,105,71,65,109,136,52,21,False,7625307052
13,26,15,48,23,7,84,41,39,9,True,7625207775
74,9,92,100,70,13,91,21,14,138,True,7625065079
95,137,9,123,57,53,86,74,73,129,True,7624967701
73,3,136,120,98,57,102,90,13,1,False,7624892763
54,106,26,47,19,95,86,23,13,66,True,7625272925
44,29,75,52,19,98,97,22,93,5,True,7625196444
53,73,17,5,18,98,66,62,70,71,True,7625128355
1,105,5,21,90,41,112,19,97,65,False,7625056065
137,22,11,19,73,90,2,20,44,52,True,7625274130
98,40,110,105,18,44,53,86,61,21,True,7625017782
9,112,89,96,113,19,45,13,114,86,True,7625433841
28,58,105,13,41,65,9,89,23,129,True,7625355997
28,114,59,5,53,52,9,95,96,19,False,7625302931
126,65,44,61,123,49,121,63,120,45,False,7625133435
15,14,76,41,109,70,86,31,137,21,True,7625463955
13,138,112,129,18,44,86,28,33,106,False,7625466461
137,22,11,19,73,90,2,20,44,52,True,7625274130
38,65,120,18,5,90,129,41,9,53,False,7625425376
51,90,56,18,129,49,112,89,61,105,True,7625367725
98,123,85,44,69,15,66,43,94,19,True,7625069770
23,136,20,96,21,113,69,52,49,48,True,7624948963
80,137,45,19,12,10,109,72,113,96,False,7624991394
52,20,7,129,70,109,86,27,3,137,True,7625448824
100,27,21,59,74,77,26,88,46,47,True,7625391590
49,71,51,109,38,129,26,84,95,106,True,7625317738
98,5,135,47,10,90,53,19,129,54,True,7625488929
7,87,26,128,18,21,110,86,104,120,True,7625399673
98,59,1,69,121,137,56,128,45,93,True,7625329457
9,43,136,113,18,48,13,5,22,98,True,7625506273
73,53,26,63,86,19,109,45,28,52,False,7625420065
126,89,45,2,53,18,65,13,19,92,True,7625323488
44,82,33,19,97,10,65,85,96,137,True,7625172530
15,32,105,20,57,7,95,55,86,74,False,7625040573
12,31,27,113,97,102,25,109,2,10,True,7625416492
98,79,9,106,94,109,27,12,19,15,True,7625289215
9,76,44,129,109,23,120,95,5,72,False,7625465935
54,120,79,53,49,4,85,126,23,65,False,7625412334
44,64,97,22,27,41,53,126,33,49,False,7625382545
10,85,120,22,68,21,19,13,20,46,False,7625313174
26,120,43,103,54,46,52,109,3,96,True,7625228178
98,123,85,44,69,15,66,43,94,19,True,7625069770
96,79,21,105,15,65,45,10,39,88,True,7624988120
18,82,135,109,138,26,137,13,95,9,True,7624912078
44,64,97,22,27,41,53,126,33,49,False,7625382545
17,96,79,48,9,120,91,15,105,67,False,7625267304
21,62,17,112,57,15,67,123,20,2,True,7625194887
98,123,85,44,69,15,66,43,94,19,True,7625069770
41,98,53,99,105,22,96,109,52,64,True,7625307261
